FIPS,NAICS2017,NAICS2017_LABEL,n
13059,4451,Grocery stores,33
13059,44511,Supermarkets and other grocery (except convenience) stores,26
13059,4453,"Beer, wine, and liquor stores",16
13059,722,Food services and drinking places,332
13059,7224,Drinking places (alcoholic beverages),37
13061,4451,Grocery stores,3
13127,4451,Grocery stores,42
13127,44511,Supermarkets and other grocery (except convenience) stores,19
13127,4453,"Beer, wine, and liquor stores",23
13127,722,Food services and drinking places,238
13127,7224,Drinking places (alcoholic beverages),7
13089,4451,Grocery stores,258
13089,44511,Supermarkets and other grocery (except convenience) stores,144
13089,4453,"Beer, wine, and liquor stores",95
13089,722,Food services and drinking places,1499
13089,7224,Drinking places (alcoholic beverages),30
13143,4451,Grocery stores,8
13143,44511,Supermarkets and other grocery (except convenience) stores,4
13143,722,Food services and drinking places,37
13157,4451,Grocery stores,14
13157,44511,Supermarkets and other grocery (except convenience) stores,5
13157,4453,"Beer, wine, and liquor stores",7
13157,722,Food services and drinking places,76
13163,4451,Grocery stores,5
13163,44511,Supermarkets and other grocery (except convenience) stores,5
13163,722,Food services and drinking places,24
13169,4451,Grocery stores,6
13169,722,Food services and drinking places,23
13181,722,Food services and drinking places,10
13213,4451,Grocery stores,8
13213,44511,Supermarkets and other grocery (except convenience) stores,4
13213,722,Food services and drinking places,36
13215,4451,Grocery stores,79
13215,44511,Supermarkets and other grocery (except convenience) stores,36
13215,4453,"Beer, wine, and liquor stores",46
13215,722,Food services and drinking places,424
13215,7224,Drinking places (alcoholic beverages),17
13235,4451,Grocery stores,4
13235,4453,"Beer, wine, and liquor stores",4
13235,722,Food services and drinking places,17
13241,4451,Grocery stores,3
13241,44511,Supermarkets and other grocery (except convenience) stores,3
13241,4453,"Beer, wine, and liquor stores",4
13241,722,Food services and drinking places,50
13281,4451,Grocery stores,4
13281,44511,Supermarkets and other grocery (except convenience) stores,3
13281,722,Food services and drinking places,29
13283,722,Food services and drinking places,4
13287,4451,Grocery stores,5
13287,44511,Supermarkets and other grocery (except convenience) stores,3
13287,722,Food services and drinking places,12
13155,4451,Grocery stores,5
13155,722,Food services and drinking places,4
13003,4451,Grocery stores,3
13003,44511,Supermarkets and other grocery (except convenience) stores,3
13003,722,Food services and drinking places,9
13001,4451,Grocery stores,4
13001,722,Food services and drinking places,29
13005,4451,Grocery stores,4
13005,44511,Supermarkets and other grocery (except convenience) stores,3
13005,722,Food services and drinking places,15
